Player,Injury,Start Date,Return Date,Days Missed
 A.J. Green,placed on IL with strained left quadriceps,2025-01-21,2025-01-31,10
 A.J. Green,placed on IL with sprained left ankle,2024-04-11,2024-04-20,9
 A.J. Green,placed on IL with lumbar injury,2025-01-02,2025-01-04,2
 A.J. Green,placed on IL with illness,2024-03-24,2024-03-25,1
 A.J. Green,placed on IL with nasal fracture,2024-01-02,2024-01-04,2
 A.J. Griffin,placed on IL with lower leg injury,2024-03-16,2024-04-12,27
 A.J. Griffin,placed on IL with illness,2023-11-21,2023-11-22,1
 A.J. Griffin,placed on IL with illness,2024-02-12,2024-02-23,11
 A.J. Johnson,placed on IL with Achilles tendinitis,2024-11-22,2024-11-26,4
 Aaron Gordon,placed on IL with strained right calf,2024-12-26,2025-01-12,17
 Aaron Gordon,placed on IL with right calf injury,2025-01-15,2025-01-17,2
 Aaron Gordon,placed on IL with strained right calf,2024-12-07,2024-12-08,1
 Aaron Gordon,placed on IL with strained right calf,2024-11-05,2024-12-01,26
 Aaron Gordon,placed on IL with strained right foot,2024-04-06,2024-04-10,4
 Aaron Gordon,placed on IL with sprained right foot,2024-03-25,2024-03-27,2
 Aaron Gordon,placed on IL with various injuries,2023-12-27,2024-01-01,5
 Aaron Gordon,placed on IL with strained right heel,2023-11-26,2023-12-02,6
 Aaron Gordon,placed on IL with right calf injury,2025-02-03,2025-02-05,2
 Aaron Nesmith,placed on IL with sprained left ankle,2024-11-08,2025-01-16,69
 Aaron Nesmith,placed on IL with bruised right knee,2024-03-25,2024-03-27,2
 Aaron Nesmith,placed on IL with shin injury,2024-01-13,2024-01-19,6
 Aaron Nesmith,placed on IL with lower leg injury,2024-02-21,2024-03-01,9
 Aaron Nesmith,placed on IL with right wrist injury,2023-11-22,2023-11-26,4
 Adam Flagler,placed on IL with bruised right hand,2024-11-27,2024-11-29,2
 Adama Sanogo,placed on IL with right knee injury,2025-01-13,2025-01-19,6
 Adama Sanogo,placed on IL with knee injury,2024-11-20,2024-11-29,9
 Adem Bona,placed on IL with knee injury,2024-12-05,2024-12-19,14
 Admiral Schofield,placed on IL with illness,2024-01-09,2024-01-13,4
 Al Horford,illness,2024-11-22,2024-11-24,2
 Al Horford,placed on IL with sprained left big toe,2024-04-09,2024-04-11,2
 Al Horford,sprained left big toe,2024-03-28,2024-03-29,1
 Al Horford,placed on IL with sprained left big toe,2024-03-22,2024-03-23,1
 Al Horford,placed on IL with sprained left big toe,2024-03-18,2024-03-19,1
 Al Horford,placed on IL with sprained left big toe,2024-03-12,2024-03-13,1
 Al Horford,placed on IL with sprained left toe,2024-02-14,2024-02-21,7
 Al Horford,placed on IL with sprained left big toe,2024-04-12,2024-04-21,9
 Al Horford,placed on IL with strained neck,2024-01-30,2024-01-31,1
 Al Horford,placed on IL with illness,2024-01-11,2024-01-13,2
 Al Horford,sprained left big toe,2025-01-29,2025-01-31,2
 Al Horford,placed on IL with sprained big toe,2024-12-02,2024-12-03,1
 Al Horford,placed on IL with sprained left big toe,2024-12-07,2024-12-11,4
 Al Horford,sprained left big toe,2025-01-18,2025-01-19,1
 Al Horford,sprained left big toe,2025-01-22,2025-01-23,1
 Al Horford,illness,2024-11-25,2024-11-28,3
 Alec Burks,placed on IL with sore left forearm,2023-11-01,2023-11-12,11
 Alec Burks,placed on IL with sprained right shoulder,2024-03-27,2024-03-31,4
 Aleksandar Vezenkov / Sasha Vezenkov,placed on IL with sprained right ankle,2024-02-11,2024-03-31,49
 Aleksandar Vezenkov / Sasha Vezenkov,placed on IL with sprained right ankle,2024-01-24,2024-02-07,14
 Aleksandar Vezenkov / Sasha Vezenkov,left thumb injury,2023-11-20,2023-11-21,1
 Aleksej Pokusevski,placed on IL with illness,2024-03-31,2024-04-01,1
 Alex Caruso,sprained left ankle,2023-12-11,2023-12-14,3
 Alex Caruso,sprained left ankle,2023-12-16,2023-12-18,2
 Alex Caruso,cervical injury,2024-01-05,2024-01-08,3
 Alex Caruso,toe injury,2024-02-12,2024-02-14,2
 Alex Caruso,placed on IL with bruised left ankle,2024-04-07,2024-04-09,2
 Alex Caruso,placed on IL with left hip injury,2024-12-25,2025-01-13,19
 Alex Caruso,placed on IL with toe injury,2023-11-26,2023-11-28,2
 Alex Caruso,placed on IL with sore right hip,2024-11-13,2024-11-18,5
 Alex Caruso,placed on IL with right hip injury,2024-11-24,2024-12-05,11
 Alex Caruso,placed on IL with sprained ankle,2025-01-31,2025-02-04,4
 Alex Caruso,bruised left ankle,2024-04-12,2024-04-13,1
 Alex Caruso,placed on IL with strained right hamstring,2024-02-28,2024-03-01,2
 Alex Caruso,placed on IL with toe injury,2023-11-12,2023-11-15,3
 Alex Len,placed on IL with illness,2024-02-25,2024-02-26,1
 Alex Len,placed on IL with sprained right ankle,2023-11-14,2023-12-26,42
 Alex Sarr,placed on IL with sore lower back,2024-12-07,2024-12-12,5
 Alex Sarr,placed on IL with sore lower back,2024-12-23,2024-12-26,3
 Alex Sarr,illness,2025-01-08,2025-01-10,2
 Alperen Sengun,bruised left calf,2025-01-30,2025-02-04,5
 Alperen Sengun,placed on IL with sore lower back,2024-02-10,2024-02-12,2
 Amare Stoudemire / Amar'e Stoudemire,placed on IL with sprained left ankle,2015-02-19,2015-02-22,3
